ID	Genotype	Weight	TGW	Area	Width	Length	Rep
15	Int_19	1.02	53.53	26.9	3.6	9.9	1R
16	Int_52	0.93	40.61	25.3	3.2	10.4	1R
17	Int_17	0.91	37.79	24.4	3.2	10	1R
18	Barke	1.05	45.74	24.2	3.5	9	1R
19	Barke	1.16	46.32	23.4	3.4	9.1	1R
20	Int_19	0.94	52	26.3	3.6	9.6	1R
21	Barke	0.87	54.56	25.6	3.6	9.2	1R
22	Int_19	0.95	52.83	25.6	3.6	9.5	1R
23	Int_19	0.92	46	24.8	3.4	9.4	1R
24	Int_17	0.93	44.38	24.9	3.2	9.9	1R
25	Int_19	0.95	50.05	26.3	3.6	9.7	1R
26	Int_17	0.89	44.45	25	3.2	9.9	1R
27	Int_19	0.91	47.84	24.7	3.5	9.4	1R
28	Int_19	1.07	53.65	26.2	3.7	9.6	1R
29	Int_17	0.77	38.6	24.7	3.3	9.9	1R
30	Int_52	0.87	48.33	24.6	3.3	9.8	1R
31	Barke	1.1	45.79	23.7	3.4	8.9	1R
32	Barke	1.25	54.35	25.8	3.6	9.3	1R
22	Int_56	0.7	49.86	26.2	3.6	9.6	4R
27	Int_56	0.51	46.45	24.4	3.3	9.7	4R
19	Int_56	0.51	51	26.4	3.4	9.8	4R
17	Int_56	0.6	46.23	23.9	3.3	9.5	4R
6	Int_19	0.68	52.08	25.1	3.4	9.5	4R
4	Int_19	0.62	47.62	25	3.4	9.4	4R
3	Int_19	0.83	52	25.4	3.5	9.6	4R
12	Int_19	0.52	43.25	22.7	3.2	9.2	4R
1	Int_19	0.67	51.54	26.2	3.6	10.1	4R
30	Int_56	0.8	49.75	25.1	3.5	9.4	4R
28	Int_56	0.71	50.71	24.1	3.4	9.4	4R
32	Int_19	0.58	52.55	25.1	3.2	10.1	4R
36	Barke	1.08	51.19	26.1	3.5	9.7	4R
18	Barke	1.06	50.48	24.6	3.3	9.7	4R
11	Int_17	0.47	33.21	22.7	2.9	10.4	4R
7	Barke	1.02	51.2	25.8	3.4	9.7	4R
24	Int_17	0.44	44.2	25.7	3.3	10.1	4R
38	Int_17	0.48	43.91	22.3	3.1	9.4	4R
21	Barke	0.46	32.86	22.8	3	9.4	4R
35	Int_52	0.54	41.31	23.5	3.1	9.7	4R
29	Int_52	0.48	32.2	21.9	3.1	9.6	4R
39	Int_52	0.72	39.89	22.9	3.1	9.4	4R
31	Int_52	0.75	47.06	25.2	3.3	10.2	4R
25	Int_52	0.48	43.82	24.3	3.3	9.7	4R
15	Int_17	0.75	46.69	25.1	3.6	9.9	4R
23	Barke	0.78	45.65	22.9	3.3	8.9	4R
20	Int_52	0.67	44.4	23	3.1	9.6	4R
9	Barke	0.83	36.26	21.8	3	9.2	4R
8	Int_52	0.69	38.56	22.7	3	9.7	4R
5	Int_17	0.64	39.75	24.1	3.3	9.4	4R
13	Int_17	0.48	32.13	22.3	3	10	4R
14	Int_52	0.49	37.54	21.8	3	9.3	4R
29	Int_52	0.79	41.53	23.2	3.1	9.7	4R
10	Int_19	0.72	44.81	24.6	3.2	10.1	4R
16	Int_52	0.75	37.55	23	3	10.1	4R
33	Int_56	0.87	48.5	25	3.4	9.5	4R
40	Int_56	0.74	52.93	25.4	3.5	9.5	4R
34	Int_52	0.3	20.33	20.9	2.7	9.9	4R
